IDResposta;CDInstalacaoPortuaria;Instalação;NOAvaliacao;NOTituloIndicadorEspecificoQuestionario;NRPeso;NOAtributoQuestionario
9065;"182    ";Terminal Integrador Portuário Luiz Antonio Mesquita - TIPLAM;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
9584;"192    ";Passarão;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
9750;"164    ";Terminal Aquaviário de Niterói;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
10935;"200    ";Trocadeiro;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
11363;"134    ";Terminal Aquaviário de São Sebastião (Almirante Barroso);2015.2;Consumo e Eficiência no Uso de Energia;0;N1
12851;"234    ";Terminal Privado Copelmi;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
5359;"372    ";Estaleiro Jurong;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
5692;"242    ";Gerdau Aços Longos;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
6517;"131    ";Terminal de Barcaças Oceânicas;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
7409;"158    ";Terminal Aquaviário de São Francisco do Sul;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
8052;"285    ";CMPC Guaíba;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
8333;"174    ";Terminal Portuário Cotegipe;2015.2;Consumo e Eficiência no Uso de Energia;0;N1
25;"249    ";Terminal Marítimo Luiz Fogliatto - Termasa;2015.2;Tipos de Energia Utilizados;0;N1
499;"226    ";Porto Itapoá Terminais Portuários;2015.2;Tipos de Energia Utilizados;0;N1
681;"155    ";Ibepar;2015.2;Tipos de Energia Utilizados;0;N1
746;"136    ";Bertolini - Santarém;2015.2;Tipos de Energia Utilizados;0;N1
946;"228    ";DP World Santos;2015.2;Tipos de Energia Utilizados;0;N1
1150;"246    ";Brasco Logística Offshore;2015.2;Tipos de Energia Utilizados;0;N1
13414;"138    ";Bianchini Canoas;2015.2;Tipos de Energia Utilizados;0;N1
13601;"153    ";Terminal Marítimo Privativo de Cubatão - TMPC;2015.2;Tipos de Energia Utilizados;0;N1
13692;"176    ";Cimento Vencemos;2015.2;Tipos de Energia Utilizados;0;N1
13721;"168    ";Terminal Sanave de Manaus;2015.2;Tipos de Energia Utilizados;0;N1
14157;"150    ";Ocrim;2015.2;Tipos de Energia Utilizados;0;N1
12806;"186    ";Terminal Aquaviário do Norte Capixaba;2015.2;Tipos de Energia Utilizados;0;N1
12836;"266    ";Moss;2015.2;Tipos de Energia Utilizados;0;N1
12871;"234    ";Terminal Privado Copelmi;2015.2;Tipos de Energia Utilizados;0;N1
13016;"326    ";Terminal Aquaviário de Barra do Riacho;2015.2;Tipos de Energia Utilizados;0;N1
13217;"236    ";Cosan Lubrificantes e Especialidades;2015.2;Tipos de Energia Utilizados;0;N1
13361;"232    ";NULL;2015.2;Tipos de Energia Utilizados;0;N1
12291;"183    ";Terminal Aquaviário de Angra dos Reis;2015.2;Tipos de Energia Utilizados;0;N1
12409;"156    ";Terminal Aquaviário da Ilha D'Água;2015.2;Tipos de Energia Utilizados;0;N1
12509;"157    ";Terminal Aquaviário de Ilha Redonda e Terminal Aquaviário da Ilha Comprida;2015.2;Tipos de Energia Utilizados;0;N1
12584;"286    ";NULL;2015.2;Tipos de Energia Utilizados;0;N1
12656;"230    ";Carinhoso;2015.2;Tipos de Energia Utilizados;0;N1
12718;"145    ";Terminal Aquaviário de Madre de Deus;2015.2;Tipos de Energia Utilizados;0;N1
11499;"332    ";Terminal de Regaiseficação de GNL da Bahia - TRBA;2015.2;Tipos de Energia Utilizados;0;N1
11676;"271    ";Terminal Flexível de GNL da Baía da Guanabara;2015.2;Tipos de Energia Utilizados;0;N1
11751;"169    ";Terminal Portuário Privativo da Alumar;2015.2;Tipos de Energia Utilizados;0;N1
11955;"195    ";Porto Engenheiro Zephyrino Lavanère Machado Filho;2015.2;Tipos de Energia Utilizados;0;N1
12072;"237    ";Terminal J. F. de Oliveira de Belém;2015.2;Tipos de Energia Utilizados;0;N1
12153;"184    ";Terminal Aquaviário de Aracaju;2015.2;Tipos de Energia Utilizados;0;N1
